,MovieID,Title,Genres,NumRatings,AvgRating
2526,2731,"400 Blows, The (Les Quatre cents coups) (1959)",Drama,187,4.320855614973262
1143,1234,"Sting, The (1973)",Multiple,1049,4.320305052430887
2651,2858,American Beauty (1999),Multiple,3428,4.3173862310385065
2374,2571,"Matrix, The (1999)",Multiple,2590,4.315830115830116
1192,1284,"Big Sleep, The (1946)",Multiple,541,4.312384473197782
2167,2360,"Celebration, The (Festen) (1998)",Drama,117,4.3076923076923075
2005,2186,Strangers on a Train (1951),Multiple,482,4.304979253112033
1107,1197,"Princess Bride, The (1987)",Multiple,2318,4.3037100949094045
1142,1233,"Boat, The (Das Boot) (1981)",Multiple,1001,4.302697302697303
1168,1260,M (1931),Multiple,308,4.3019480519480515
837,898,"Philadelphia Story, The (1940)",Multiple,582,4.3006872852233675
849,910,Some Like It Hot (1959),Multiple,832,4.300480769230769
892,953,It's a Wonderful Life (1946),Drama,729,4.299039780521262
1113,1203,12 Angry Men (1957),Drama,616,4.295454545454546
869,930,Notorious (1946),Multiple,445,4.29438202247191
1106,1196,Star Wars: Episode V - The Empire Strikes Back (1980),Multiple,2990,4.292976588628763
1162,1254,"Treasure of the Sierra Madre, The (1948)",Adventure,453,4.289183222958058
2729,2937,"Palm Beach Story, The (1942)",Comedy,104,4.288461538461538
1084,1172,Cinema Paradiso (1988),Multiple,615,4.287804878048781
1134,1224,Henry V (1989),Multiple,426,4.286384976525822
2164,2357,Central Station (Central do Brasil) (1998),Drama,215,4.283720930232558
2875,3091,Kagemusha (1980),Multiple,141,4.283687943262412
838,899,Singin' in the Rain (1952),Multiple,751,4.2836218375499335
844,905,It Happened One Night (1934),Comedy,374,4.280748663101604
3236,3469,Inherit the Wind (1960),Drama,268,4.279850746268656
287,296,Pulp Fiction (1994),Multiple,2171,4.278212805158913
1123,1213,GoodFellas (1990),Multiple,1657,4.275196137598069
3437,3679,"Decline of Western Civilization, The (1981)",Documentary,62,4.274193548387097
527,541,Blade Runner (1982),Multiple,1800,4.273333333333333
842,903,Vertigo (1958),Multiple,905,4.27292817679558
2021,2203,Shadow of a Doubt (1943),Multiple,233,4.2703862660944205
1765,1945,On the Waterfront (1954),Multiple,519,4.269749518304431
1127,1217,Ran (1985),Multiple,357,4.26890756302521
1180,1272,Patton (1970),Multiple,645,4.266666666666667
1055,1132,Manon of the Spring (Manon des sources) (1986),Drama,220,4.259090909090909
353,363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",Documentary,62,4.258064516129032
865,926,All About Eve (1950),Drama,403,4.255583126550868
593,608,Fargo (1996),Multiple,2513,4.254675686430561
3393,3634,Seven Days in May (1964),Thriller,165,4.254545454545455
1184,1276,Cool Hand Luke (1967),Multiple,930,4.253763440860215
1100,1189,"Thin Blue Line, The (1988)",Documentary,269,4.25278810408922
1135,1225,Amadeus (1984),Drama,1382,4.251808972503618
908,969,"African Queen, The (1951)",Multiple,1057,4.251655629139073
1186,1278,Young Frankenstein (1974),Multiple,1193,4.250628667225482
3488,3730,"Conversation, The (1974)",Multiple,453,4.249448123620309
890,951,His Girl Friday (1940),Comedy,397,4.249370277078086
1207,1299,"Killing Fields, The (1984)",Multiple,732,4.248633879781421
858,919,"Wizard of Oz, The (1939)",Multiple,1718,4.247962747380675
1155,1247,"Graduate, The (1967)",Multiple,1261,4.245836637589215
653,678,Some Folks Call It a Sling Blade (1993),Multiple,306,4.245098039215686
1118,1208,Apocalypse Now (1979),Multiple,1176,4.243197278911564
893,954,Mr. Smith Goes to Washington (1939),Drama,383,4.240208877284595
3235,3468,"Hustler, The (1961)",Drama,450,4.24
889,950,"Thin Man, The (1934)",Mystery,292,4.239726027397261
2599,2804,"Christmas Story, A (1983)",Multiple,1352,4.238905325443787
3229,3462,Modern Times (1936),Comedy,305,4.2360655737704915
106,110,Braveheart (1995),Multiple,2443,4.234957020057307
2652,2859,Stop Making Sense (1984),Documentary,239,4.2343096234309625
1769,1949,"Man for All Seasons, A (1966)",Drama,219,4.232876712328767
3558,3801,Anatomy of a Murder (1959),Multiple,199,4.231155778894473
1146,1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama,299,4.230769230769231
2976,3196,Stalag 17 (1953),Multiple,394,4.228426395939087
2717,2925,"Conformist, The (Il Conformista) (1970)",Drama,57,4.228070175438597
297,306,Three Colors: Red (1994),Drama,334,4.227544910179641
542,556,"War Room, The (1993)",Documentary,132,4.2272727272727275
2862,3077,42 Up (1998),Documentary,88,4.2272727272727275
2136,2329,American History X (1998),Drama,640,4.2265625
3651,3897,Almost Famous (2000),Multiple,994,4.22635814889336
1032,1104,"Streetcar Named Desire, A (1951)",Drama,483,4.225672877846791
2488,2692,Run Lola Run (Lola rennt) (1998),Multiple,1072,4.224813432835821
2407,2609,"King of Masks, The (Bian Lian) (1996)",Drama,67,4.223880597014926
1485,1617,L.A. Confidential (1997),Multiple,2288,4.219405594405594
2898,3114,Toy Story 2 (1999),Multiple,1585,4.218927444794953
1129,1219,Psycho (1960),Multiple,1263,4.218527315914489
3441,3683,Blood Simple (1984),Multiple,628,4.218152866242038
855,916,Roman Holiday (1953),Multiple,425,4.216470588235294
1156,1248,Touch of Evil (1958),Multiple,514,4.215953307392996
1212,1304,Butch Cassidy and the Sundance Kid (1969),Multiple,1419,4.215644820295983
1263,1361,Paradise Lost: The Child Murders at Robin Hood Hills (1996),Documentary,159,4.213836477987422
1164,1256,Duck Soup (1933),Multiple,594,4.21043771043771
1260,1358,Sling Blade (1996),Multiple,1177,4.208156329651657
2158,2351,Nights of Cabiria (Le Notti di Cabiria) (1957),Drama,111,4.207207207207207
867,928,Rebecca (1940),Multiple,386,4.204663212435233
2824,3038,"Face in the Crowd, A (1957)",Drama,74,4.202702702702703
881,942,Laura (1944),Multiple,292,4.2020547945205475
3546,3789,"Pawnbroker, The (1965)",Drama,156,4.198717948717949
1128,1218,"Killer, The (Die xue shuang xiong) (1989)",Multiple,244,4.19672131147541
1747,1927,All Quiet on the Western Front (1930),War,268,4.1940298507462686
1150,1242,Glory (1989),Multiple,1112,4.193345323741007
2727,2935,"Lady Eve, The (1941)",Multiple,145,4.1931034482758625
2712,2920,Children of Paradise (Les enfants du paradis) (1945),Multiple,100,4.19
3389,3629,"Gold Rush, The (1925)",Comedy,275,4.189090909090909
1145,1236,Trust (1990),Multiple,90,4.188888888888889
239,246,Hoop Dreams (1994),Documentary,716,4.18854748603352
1138,1228,Raging Bull (1980),Drama,677,4.1875923190546525
2026,2208,"Lady Vanishes, The (1938)",Multiple,199,4.185929648241206
107,111,Taxi Driver (1976),Multiple,1240,4.183870967741935
850,911,Charade (1963),Multiple,306,4.183006535947713
1196,1288,This Is Spinal Tap (1984),Multiple,1118,4.179785330948121
1191,1283,High Noon (1952),Western,403,4.1786600496277915
1563,1704,Good Will Hunting (1997),Drama,1548,4.176356589147287
1188,1280,Raise the Red Lantern (1991),Drama,277,4.1732851985559565
894,955,Bringing Up Baby (1938),Comedy,413,4.169491525423729
2521,2726,"Killing, The (1956)",Multiple,130,4.1692307692307695
1177,1269,Arsenic and Old Lace (1944),Multiple,672,4.168154761904762
997,1066,Shall We Dance? (1937),Multiple,175,4.1657142857142855
1144,1235,Harold and Maude (1971),Comedy,697,4.164992826398852
1720,1900,"Children of Heaven, The (Bacheha-Ye Aseman) (1997)",Drama,61,4.163934426229508
2137,2330,Hands on a Hard Body (1996),Documentary,92,4.163043478260869
1124,1214,Alien (1979),Multiple,2024,4.159584980237154
2931,3147,"Green Mile, The (1999)",Multiple,1222,4.154664484451718
853,914,My Fair Lady (1964),Multiple,636,4.154088050314465
1148,1240,"Terminator, The (1984)",Multiple,2098,4.152049571020019
1885,2066,Out of the Past (1947),Film-Noir,106,4.150943396226415
2821,3035,Mister Roberts (1955),Multiple,421,4.149643705463183
2788,3000,"Princess Mononoke, The (Mononoke Hime) (1997)",Multiple,345,4.147826086956521
884,945,Top Hat (1935),Multiple,251,4.147410358565737
1342,1449,Waiting for Guffman (1996),Comedy,462,4.147186147186147
0,1,Toy Story (1995),Multiple,2077,4.146846413095811
1208,1300,My Life as a Dog (Mitt liv som hund) (1985),Drama,330,4.1454545454545455
2108,2300,"Producers, The (1968)",Multiple,658,4.144376899696049
1139,1230,Annie Hall (1977),Multiple,1334,4.14167916041979
1201,1293,Gandhi (1982),Drama,671,4.141579731743666
1161,1253,"Day the Earth Stood Still, The (1951)",Multiple,559,4.141323792486583
2874,3090,Matewan (1987),Drama,177,4.141242937853107
2307,2501,October Sky (1999),Drama,588,4.137755102040816
3041,3265,Hard-Boiled (Lashou shentan) (1992),Multiple,327,4.137614678899083
2583,2788,And Now for Something Completely Different (1971),Comedy,451,4.137472283813747
1414,1537,Shall We Dance? (Shall We Dansu?) (1996),Comedy,350,4.137142857142857
1017,1089,Reservoir Dogs (1992),Multiple,1259,4.13582208101668
2879,3095,"Grapes of Wrath, The (1940)",Drama,521,4.134357005758157
1111,1201,"Good, The Bad and The Ugly, The (1966)",Multiple,822,4.133819951338199
1199,1291,Indiana Jones and the Last Crusade (1989),Multiple,1628,4.133292383292384
1770,1950,In the Heat of the Night (1967),Multiple,348,4.129310344827586
1211,1303,"Man Who Would Be King, The (1975)",Adventure,310,4.129032258064516
2203,2396,Shakespeare in Love (1998),Multiple,2369,4.127479949345715
848,909,"Apartment, The (1960)",Multiple,417,4.127098321342926
1110,1200,Aliens (1986),Multiple,1820,4.125824175824176
2785,2997,Being John Malkovich (1999),Comedy,2241,4.125390450691656
1202,1294,M*A*S*H (1970),Multiple,1099,4.124658780709736
1759,1939,"Best Years of Our Lives, The (1946)",Multiple,236,4.122881355932203
971,1036,Die Hard (1988),Multiple,1666,4.121848739495798
2710,2918,Ferris Bueller's Day Off (1986),Comedy,1473,4.11744738628649
3702,3949,Requiem for a Dream (2000),Drama,304,4.115131578947368
1772,1952,Midnight Cowboy (1969),Drama,663,4.113122171945701
1121,1211,Wings of Desire (Der Himmel über Berlin) (1987),Multiple,242,4.1115702479338845
1132,1222,Full Metal Jacket (1987),Multiple,1254,4.110845295055821
1195,1287,Ben-Hur (1959),Multiple,704,4.110795454545454
1171,1263,"Deer Hunter, The (1978)",Multiple,700,4.11
46,47,Seven (Se7en) (1995),Multiple,1137,4.106420404573439
886,947,My Man Godfrey (1936),Comedy,188,4.1063829787234045
284,293,"Professional, The (a.k.a. Leon: The Professional) (1994)",Multiple,923,4.106175514626218
3341,3578,Gladiator (2000),Multiple,1924,4.106029106029106
1159,1251,8 1/2 (1963),Drama,228,4.105263157894737
1166,1258,"Shining, The (1980)",Horror,1087,4.104875804967802
443,457,"Fugitive, The (1993)",Multiple,1995,4.103258145363409
3568,3811,Breaker Morant (1980),Multiple,360,4.102777777777778
721,759,Maya Lin: A Strong Clear Vision (1994),Documentary,59,4.101694915254237
872,933,To Catch a Thief (1955),Multiple,443,4.10158013544018
298,307,Three Colors: Blue (1993),Drama,243,4.098765432098766
1773,1953,"French Connection, The (1971)",Multiple,861,4.098722415795587
1109,1199,Brazil (1985),Sci-Fi,913,4.097480832420591
1167,1259,Stand by Me (1986),Multiple,1785,4.0969187675070025
845,906,Gaslight (1944),Multiple,187,4.096256684491979
1012,1084,Bonnie and Clyde (1967),Multiple,686,4.096209912536443
1764,1944,From Here to Eternity (1953),Multiple,364,4.096153846153846
1035,1111,Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),Documentary,94,4.095744680851064
931,994,Big Night (1996),Drama,450,4.095555555555555
56,58,"Postino, Il (The Postman) (1994)",Multiple,501,4.093812375249501
2728,2936,Sullivan's Travels (1942),Comedy,161,4.093167701863354
1174,1266,Unforgiven (1992),Western,997,4.0902708124373115
1018,1090,Platoon (1986),Multiple,1143,4.090113735783027
2872,3088,Harvey (1950),Comedy,356,4.089887640449438
1288,1387,Jaws (1975),Multiple,1697,4.089569829110195
704,741,Ghost in the Shell (Kokaku kidotai) (1995),Multiple,314,4.089171974522293
2422,2624,After Life (1998),Drama,102,4.088235294117647
2410,2612,Mildred Pierce (1945),Drama,136,4.088235294117647
2405,2607,Get Real (1998),Drama,68,4.088235294117647
346,356,Forrest Gump (1994),Multiple,2194,4.087967183226983
585,599,"Wild Bunch, The (1969)",Western,264,4.087121212121212
2867,3083,All About My Mother (Todo Sobre Mi Madre) (1999),Multiple,394,4.086294416243655
3136,3365,"Searchers, The (1956)",Western,245,4.085714285714285
432,446,Farewell My Concubine (1993),Multiple,254,4.082677165354331
754,800,Lone Star (1996),Multiple,630,4.082539682539682
1830,2010,Metropolis (1926),Sci-Fi,388,4.082474226804123
3107,3334,Key Largo (1948),Multiple,461,4.082429501084599
1152,1244,Manhattan (1979),Multiple,718,4.082172701949861
2719,2927,Brief Encounter (1946),Multiple,99,4.08080808080808
3130,3359,Breaking Away (1979),Drama,520,4.0807692307692305
1140,1231,"Right Stuff, The (1983)",Drama,750,4.08
1014,1086,Dial M for Murder (1954),Multiple,379,4.079155672823219
3499,3741,Badlands (1973),Multiple,241,4.078838174273859
1116,1206,"Clockwork Orange, A (1971)",Sci-Fi,1229,4.0781122864117165
2748,2959,Fight Club (1999),Drama,1451,4.077188146106134
875,936,Ninotchka (1939),Multiple,132,4.075757575757576
225,232,Eat Drink Man Woman (1994),Multiple,346,4.07514450867052
904,965,"39 Steps, The (1935)",Thriller,253,4.075098814229249
1951,2132,Who's Afraid of Virginia Woolf? (1966),Drama,297,4.074074074074074
1883,2064,Roger & Me (1989),Multiple,798,4.0739348370927315
2978,3198,Papillon (1973),Drama,325,4.073846153846154
144,150,Apollo 13 (1995),Drama,1251,4.073541167066347
1215,1307,When Harry Met Sally... (1989),Multiple,1568,4.073341836734694
3664,3911,Best in Show (2000),Comedy,657,4.073059360730594
863,924,2001: A Space Odyssey (1968),Multiple,1716,4.068764568764569
1421,1545,Ponette (1996),Drama,73,4.068493150684931
980,1046,Beautiful Thing (1996),Multiple,90,4.066666666666666
1886,2067,Doctor Zhivago (1965),Multiple,564,4.065602836879433
156,162,Crumb (1994),Documentary,491,4.063136456211812
28,29,"City of Lost Children, The (1995)",Multiple,403,4.062034739454094
2794,3006,"Insider, The (1999)",Drama,884,4.0588235294117645
575,589,Terminator 2: Judgment Day (1991),Multiple,2649,4.058512646281616
1767,1947,West Side Story (1961),Multiple,761,4.057818659658344
207,213,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama,123,4.056910569105691
2479,2682,Limbo (1999),Drama,88,4.056818181818182
2475,2677,Buena Vista Social Club (1999),Documentary,230,4.056521739130435
2755,2966,"Straight Story, The (1999)",Drama,429,4.055944055944056
27,28,Persuasion (1995),Romance,179,4.055865921787709
1172,1264,Diva (1981),Multiple,257,4.054474708171206
1781,1961,Rain Man (1988),Drama,1330,4.053383458646617
1136,1226,"Quiet Man, The (1952)",Multiple,226,4.053097345132743
3189,3421,Animal House (1978),Comedy,1207,4.053024026512014
1340,1446,Kolya (1996),Comedy,189,4.052910052910053
1478,1610,"Hunt for Red October, The (1990)",Multiple,1652,4.052058111380146
3004,3224,Woman in the Dunes (Suna no onna) (1964),Drama,77,4.0519480519480515
1783,1963,Take the Money and Run (1969),Comedy,252,4.051587301587301
2762,2973,Crimes and Misdemeanors (1989),Comedy,460,4.05
567,581,"Celluloid Closet, The (1995)",Documentary,141,4.049645390070922
910,971,Cat on a Hot Tin Roof (1958),Drama,271,4.047970479704797
2556,2761,"Iron Giant, The (1999)",Multiple,674,4.0474777448071215
3429,3671,Blazing Saddles (1974),Multiple,1119,4.047363717605005
600,615,Bread and Chocolate (Pane e cioccolata) (1973),Drama,67,4.044776119402985
1572,1719,"Sweet Hereafter, The (1997)",Drama,381,4.044619422572178
2823,3037,Little Big Man (1970),Multiple,591,4.04399323181049
3275,3508,"Outlaw Josey Wales, The (1976)",Western,365,4.043835616438356
2614,2819,Three Days of the Condor (1975),Thriller,319,4.040752351097178
3114,3341,Born Yesterday (1950),Comedy,177,4.03954802259887
2881,3097,"Shop Around the Corner, The (1940)",Multiple,206,4.038834951456311
976,1041,Secrets & Lies (1996),Drama,474,4.037974683544304
1762,1942,All the King's Men (1949),Drama,119,4.033613445378151
3274,3507,"Odd Couple, The (1968)",Comedy,389,4.033419023136247
1189,1281,"Great Dictator, The (1940)",Comedy,216,4.032407407407407
2709,2917,Body Heat (1981),Multiple,504,4.031746031746032
1751,1931,Mutiny on the Bounty (1935),Adventure,225,4.0311111111111115
1264,1362,"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",Drama,100,4.03
2143,2336,Elizabeth (1998),Drama,938,4.029850746268656
3540,3783,Croupier (1998),Multiple,235,4.029787234042553
1103,1192,Paris Is Burning (1990),Documentary,105,4.0285714285714285
1755,1935,How Green Was My Valley (1941),Drama,107,4.02803738317757
16,17,Sense and Sensibility (1995),Multiple,835,4.027544910179641
3134,3363,American Graffiti (1973),Multiple,990,4.026262626262627
3575,3819,Tampopo (1986),Comedy,245,4.024489795918368
1119,1209,Once Upon a Time in the West (1969),Western,173,4.023121387283237
1120,1210,Star Wars: Episode VI - Return of the Jedi (1983),Multiple,2883,4.022892819979188
3571,3814,Love and Death (1975),Comedy,219,4.0228310502283104
3234,3467,Hud (1963),Multiple,279,4.021505376344086
1295,1394,Raising Arizona (1987),Comedy,1434,4.02092050209205
3271,3504,Network (1976),Multiple,688,4.020348837209302
2523,2728,Spartacus (1960),Drama,426,4.018779342723005
1008,1080,Monty Python's Life of Brian (1979),Comedy,926,4.018358531317495
2058,2248,Say Anything... (1989),Multiple,914,4.017505470459518
2761,2972,Red Sorghum (Hong Gao Liang) (1987),Multiple,65,4.015384615384615
3238,3471,Close Encounters of the Third Kind (1977),Multiple,1451,4.0144727773949
2701,2908,Boys Don't Cry (1999),Drama,850,4.014117647058823
2795,3007,American Movie (1999),Documentary,295,4.013559322033898
1200,1292,Being There (1979),Comedy,591,4.013536379018612
2121,2313,"Elephant Man, The (1980)",Drama,457,4.013129102844639
1754,1934,You Can't Take It With You (1938),Comedy,77,4.012987012987013
2024,2206,Suspicion (1941),Multiple,167,4.0119760479041915
2732,2940,Gilda (1946),Film-Noir,107,4.009345794392523
2013,2194,"Untouchables, The (1987)",Multiple,1127,4.007985803016859
3265,3498,Midnight Express (1978),Drama,295,4.0067796610169495
1628,1797,Everest (1998),Documentary,167,4.005988023952096
1154,1246,Dead Poets Society (1989),Drama,855,4.005847953216374
1153,1245,Miller's Crossing (1990),Drama,358,4.005586592178771
1157,1249,Nikita (La Femme Nikita) (1990),Thriller,733,4.005457025920873
2736,2944,"Dirty Dozen, The (1967)",Multiple,707,4.0042432814710045
1087,1175,Delicatessen (1991),Multiple,368,4.002717391304348
3495,3737,Lonely Are the Brave (1962),Multiple,50,4.0
1147,1238,Local Hero (1983),Comedy,351,4.0
483,497,Much Ado About Nothing (1993),Multiple,667,4.0
2468,2670,"Run Silent, Run Deep (1958)",War,220,4.0
442,456,Fresh (1994),Drama,93,4.0
1650,1827,"Big One, The (1997)",Multiple,102,4.0
2378,2575,"Dreamlife of Angels, The (La Vie rêvée des anges) (1998)",Drama,141,4.0
859,920,Gone with the Wind (1939),Multiple,1156,3.9974048442906573
1204,1296,"Room with a View, A (1986)",Multiple,560,3.9964285714285714
1537,1674,Witness (1985),Multiple,1046,3.9961759082217974
2743,2951,"Fistful of Dollars, A (1964)",Multiple,522,3.9942528735632186
3682,3929,"Bank Dick, The (1940)",Comedy,147,3.993197278911565
1089,1177,Enchanted April (1991),Drama,147,3.993197278911565
1250,1348,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",Horror,238,3.991596638655462
1178,1270,Back to the Future (1985),Multiple,2583,3.9903213317847466
1776,1956,Ordinary People (1980),Drama,507,3.990138067061144
1027,1099,"Christmas Carol, A (1938)",Drama,194,3.9896907216494846
2771,2983,"Ipcress File, The (1965)",Thriller,81,3.9876543209876543
958,1023,Winnie the Pooh and the Blustery Day (1968),Multiple,221,3.986425339366516
2860,3075,Repulsion (1965),Thriller,69,3.9855072463768115
1151,1243,Rosencrantz and Guildenstern Are Dead (1990),Multiple,325,3.9846153846153847
882,943,"Ghost and Mrs. Muir, The (1947)",Multiple,171,3.982456140350877
3493,3735,Serpico (1973),Multiple,495,3.981818181818182
3120,3347,Never Cry Wolf (1983),Drama,212,3.981132075471698
1603,1759,Four Days in September (1997),Drama,51,3.980392156862745
1005,1077,Sleeper (1973),Multiple,744,3.9798387096774195
2527,2732,Jules and Jim (Jules et Jim) (1961),Drama,148,3.97972972972973
515,529,Searching for Bobby Fischer (1993),Drama,720,3.977777777777778
1024,1096,Sophie's Choice (1982),Drama,344,3.9767441860465116
888,949,East of Eden (1955),Drama,215,3.9767441860465116
1780,1960,"Last Emperor, The (1987)",Multiple,636,3.9764150943396226
866,927,"Women, The (1939)",Comedy,84,3.9761904761904763
1209,1301,Forbidden Planet (1956),Sci-Fi,373,3.9758713136729225
1766,1946,Marty (1955),Multiple,205,3.975609756097561
2446,2648,Frankenstein (1931),Horror,406,3.9753694581280787
879,940,"Adventures of Robin Hood, The (1938)",Multiple,378,3.9735449735449735
1197,1289,Koyaanisqatsi (1983),Multiple,182,3.9725274725274726
3122,3350,"Raisin in the Sun, A (1961)",Drama,143,3.972027972027972
2936,3152,"Last Picture Show, The (1971)",Drama,354,3.9717514124293785
2847,3062,"Longest Day, The (1962)",Multiple,352,3.971590909090909
1840,2020,Dangerous Liaisons (1988),Multiple,773,3.9715394566623545
1007,1079,"Fish Called Wanda, A (1988)",Comedy,1326,3.971342383107089
2586,2791,Airplane! (1980),Comedy,1731,3.9711149624494513
2739,2947,Goldfinger (1964),Action,897,3.971014492753623
3500,3742,"Battleship Potemkin, The (Bronenosets Potyomkin) (1925)",Multiple,234,3.97008547008547
3133,3362,Dog Day Afternoon (1975),Multiple,765,3.969934640522876
1181,1273,Down by Law (1986),Multiple,146,3.9657534246575343
299,308,Three Colors: White (1994),Drama,202,3.9653465346534653
1025,1097,E.T. the Extra-Terrestrial (1982),Multiple,2269,3.9651828999559275
854,915,Sabrina (1954),Multiple,365,3.9643835616438357
3412,3654,"Guns of Navarone, The (1961)",Multiple,502,3.9641434262948207
1316,1419,Walkabout (1971),Drama,136,3.963235294117647
2097,2289,"Player, The (1992)",Multiple,978,3.96319018404908
3242,3475,"Place in the Sun, A (1951)",Multiple,134,3.962686567164179
2482,2686,"Red Violin, The (Le Violon rouge) (1998)",Multiple,583,3.9622641509433962
2205,2398,Miracle on 34th Street (1947),Drama,380,3.960526315789474
735,778,Trainspotting (1996),Drama,751,3.9600532623169107
2965,3182,Mr. Death: The Rise and Fall of Fred A. Leuchter Jr. (1999),Documentary,124,3.9596774193548385
3486,3728,One False Move (1991),Thriller,148,3.9594594594594597
2759,2970,Fitzcarraldo (1982),Multiple,98,3.9591836734693877
40,41,Richard III (1995),Multiple,242,3.958677685950413
1309,1411,Hamlet (1996),Drama,382,3.9581151832460733
1096,1185,My Left Foot (1989),Drama,453,3.958057395143488
35,36,Dead Man Walking (1995),Drama,928,3.9579741379310347
2724,2932,Days of Heaven (1978),Drama,118,3.957627118644068
2880,3096,My Man Godfrey (1957),Comedy,93,3.956989247311828
1621,1788,Men With Guns (1997),Multiple,91,3.956043956043956
1817,1997,"Exorcist, The (1973)",Horror,885,3.9559322033898305
2368,2565,"King and I, The (1956)",Musical,372,3.954301075268817
1173,1265,Groundhog Day (1993),Multiple,2278,3.953028972783143
2981,3201,Five Easy Pieces (1970),Drama,359,3.9526462395543174
871,932,"Affair to Remember, An (1957)",Romance,189,3.9523809523809526
2932,3148,"Cider House Rules, The (1999)",Drama,711,3.952180028129395
2396,2594,Open Your Eyes (Abre los ojos) (1997),Multiple,62,3.9516129032258065
1099,1188,Strictly Ballroom (1992),Multiple,676,3.951183431952663
1618,1784,As Good As It Gets (1997),Multiple,1424,3.9501404494382024
3091,3317,Wonder Boys (2000),Multiple,496,3.9495967741935485
2919,3135,"Great Santini, The (1979)",Drama,195,3.948717948717949
3149,3379,On the Beach (1959),Drama,95,3.9473684210526314
216,223,Clerks (1994),Comedy,1412,3.946883852691218
1074,1161,"Tin Drum, The (Blechtrommel, Die) (1979)",Drama,94,3.9468085106382977
31,32,Twelve Monkeys (1995),Multiple,1511,3.945731303772336
2020,2202,Lifeboat (1944),Multiple,213,3.943661971830986
1774,1954,Rocky (1976),Multiple,1129,3.9433126660761735
